Wavelength,n,k
 1631, 1.720469, 0.056159
 1632, 1.720441, 0.05612
 1633, 1.720414,0.056082
 1634, 1.720386, 0.056044
 1635, 1.720358, 0.056006
 1636, 1.72033, 0.055968
 1637,1.720303, 0.05593
 1638, 1.720275,0.055892
 1639, 1.720248, 0.055855
 1640, 1.72022, 0.055817
 1641,1.720193, 0.055779
 1642, 1.720165, 0.055741
 1643, 1.720138, 0.055704
 1644, 1.720111, 0.055666
 1645, 1.720083, 0.055629
 1646, 1.720056, 0.055591
 1647, 1.720029, 0.055554
 1648, 1.720002, 0.055517
 1649, 1.719975, 0.055479
 1650, 1.719948, 0.055442
 1651, 1.719921, 0.055405
 1652, 1.719894, 0.055368
 1653, 1.719868, 0.055331
 1654, 1.719841, 0.055294
 1655, 1.719814, 0.055257
 1656, 1.719787, 0.05522
 1657, 1.719761,0.055183
 1658, 1.719734, 0.055146
 1659, 1.719708, 0.055109
 1660, 1.719681, 0.055073
 1661, 1.719655, 0.055036
 1662, 1.719628, 0.054999
 1663, 1.719602, 0.054963
 1664, 1.719576, 0.054926
 1665, 1.71955, 0.05489
 1666,1.719523,0.054853
 1667, 1.719497, 0.054817
 1668, 1.719471, 0.054781
 1669, 1.719445, 0.054745
 1670, 1.719419, 0.054708
 1671, 1.719393, 0.054672
 1672, 1.719367, 0.054636
 1673, 1.719341, 0.0546
 1674, 1.719316, 0.054564
 1675, 1.71929, 0.054528
 1676,1.719264, 0.054492
 1677, 1.719239, 0.054456
 1678, 1.719213, 0.05442
 1679, 1.719187,0.054385
 1680, 1.719162, 0.054349
 1681, 1.719136, 0.054313
 1682, 1.719111, 0.054278
 1683, 1.719086, 0.054242
 1684, 1.71906, 0.054207
