Wavelength,n,k
358 ,1.773040 ,0.154099 
359 ,1.771466 , 0.153453333
360 ,1.769713 ,0.152767 
361 , 1.767767667,0.152067 
362 ,1.765621 , 0.151385
363 ,1.763269 , 0.150752667
364 , 1.760709667,0.150201 
365 ,1.757948 ,0.149761 
366 ,1.754990 ,0.149462 
367 ,1.751846 , 0.149335
368 ,1.748532 , 0.149405667
369 , 1.745064,0.149700 
370 , 1.741461667,0.150240 
371 ,1.737747 ,0.151047 
372 , 1.733943333, 0.15214
373 ,1.730076 ,0.153533 
374 ,1.726173 , 0.15524
375 , 1.722259333,0.157271 
376 ,1.718365 ,0.159634 
377 ,1.714519 ,0.162335 
378 , 1.710750333,0.165374 
379 ,1.707088 , 0.168754333
380 ,1.703561 ,0.172471 
381 , 1.700200333, 0.176521
382 ,1.697033 , 0.180896667
383 , 1.694089,0.185588 
384 , 1.691395333,0.190583 
385 ,1.688979 ,0.195866 
386 , 1.686867,0.201423 
387 , 1.685083,0.207232 
388 , 1.683650333,0.213274 
389 ,1.682592 , 0.219524667
390 ,1.681927 ,0.225959 
391 , 1.681675333,0.232550 
392 ,1.681855 ,0.239264 
393 , 1.682475333,0.246066 
394 ,1.683542 ,0.252926 
395 ,1.685058 , 0.259812667
396 , 1.687027667,0.266694 
397 ,1.689451 ,0.273539 
398 , 1.692325333,0.280318 
399 ,1.695647 ,0.286999 
400 ,1.699407 ,0.293552 
401 ,1.703598 ,0.299949 
402 ,1.708208 , 0.306161333
403 ,1.713222 ,0.312163 
404 , 1.718625, 0.317930667
405 , 1.7244,0.323440 
406 , 1.73053,0.328672 
407 ,1.736995 , 0.333607667
408 ,1.743777 ,0.338230 
409 , 1.750854,0.342524 
410 , 1.758207667,0.346478 
411 ,1.765819 ,0.350079 
412 ,1.773667 , 0.353318667
413 ,1.781735 ,0.356188 
414 ,1.790004 ,0.358681 
415 ,1.798459 ,0.360788 
416 ,1.807083 ,0.362506 
417 ,1.815862 ,0.363827 
418 , 1.824782,0.364745 
419 , 1.83383,0.365253 
420 ,1.842993 , 0.365343
421 ,1.852260 , 0.365005333
422 ,1.861617 ,0.364229 
423 ,1.871053 ,0.363001 
424 ,1.880551 , 0.361307333
425 ,1.890097 ,0.359130 
426 ,1.899670 ,0.356452 
427 ,1.909248 ,0.353252 
428 ,1.918804 ,0.349508 
429 ,1.928305 , 0.3452
430 , 1.937713333, 0.340307
431 ,1.946985 , 0.33481
432 ,1.956067 ,0.328694 
433 ,1.964904 ,0.321948 
434 ,1.973430 ,0.314572 
435 ,1.981577 ,0.306569 
436 ,1.989273 ,0.297958 
437 ,1.996445 , 0.288767
438 , 2.003019333, 0.279037
439 ,2.008928 , 0.268823667
440 ,2.014110 ,0.258194 
441 ,2.018514 , 0.247226
442 ,2.022100 , 0.236007
443 ,2.024843 , 0.224631333
444 , 2.026734667,0.213196 
445 ,2.027781 ,0.201799 
446 , 2.028003,0.190534 
447 , 2.027437,0.179487 
448 , 2.026129667,0.168738 
449 ,2.024139 ,0.158356 
450 ,2.021528 , 0.148396667
451 , 2.018366333,0.138905 
452 ,2.014723 ,0.129913 
453 , 2.010669,0.121443 
454 , 2.006272,0.113506 
455 , 2.001597,0.106104 
456 , 1.996703333, 0.099232667
457 ,1.991647 ,0.092880 
458 ,1.986477 ,0.087030 
459 ,1.981237 ,0.081663 
460 , 1.975967,0.076756 
461 , 1.970700667,0.072286 
462 ,1.965466 ,0.068226 
463 ,1.960290 ,0.064553 
464 ,1.955191 ,0.061240 
465 ,1.950187 ,0.058263 
466 , 1.945294333,0.055598 
467 ,1.940524 ,0.053223 
468 , 1.935886333,0.051114 
469 ,1.931390 ,0.049254 
470 ,1.927044 ,0.047621 
471 , 1.922854667,0.046198 
472 ,1.918831 ,0.044967 
473 ,1.914987 , 0.043913
474 ,1.911355 , 0.043008667
475 , 1.907923667,0.042170 
476 ,1.904643 ,0.041383 
477 , 1.901492667,0.040645 
478 ,1.898459 , 0.039954333
479 ,1.895531 ,0.039309 
480 ,1.892701 ,0.038705 
481 ,1.889962 ,0.038142 
482 ,1.887311 , 0.037616667
483 , 1.884740667,0.037127 
484 ,1.882248 ,0.036671 
485 , 1.879829,0.036247 
486 , 1.87748,0.035851 
487 ,1.875198 ,0.035484 
488 ,1.872981 ,0.035142 
489 ,1.870826 ,0.034824 
490 ,1.868729 , 0.034528333
491 , 1.866689667,0.034254 
492 ,1.864705 , 0.033998
493 ,1.862773 , 0.033760333
494 ,1.860891 ,0.033539 
495 ,1.859058 ,0.033334 
496 ,1.857272 ,0.033142 
497 ,1.855530 ,0.032963 
498 ,1.853833 ,0.032796 
499 ,1.852176 ,0.032641 
500 ,1.850561 , 0.032495667
501 ,1.848983 ,0.032359 
502 ,1.847444 ,0.032232 
503 ,1.845940 ,0.032112 
504 ,1.844471 ,0.032000 
505 ,1.843035 ,0.031894 
506 ,1.841631 ,0.031794 
507 , 1.840258,0.031699 
508 , 1.838915333, 0.03161
509 ,1.837601 ,0.031525 
510 ,1.836315 , 0.031444667
511 ,1.835056 ,0.031368 
512 ,1.833822 , 0.031294667
513 , 1.832613333,0.031225 
514 ,1.831429 ,0.031158 
515 ,1.830267 ,0.031093 
516 ,1.829128 ,0.031031 
517 ,1.828011 ,0.030971 
518 , 1.826914667,0.030914 
519 ,1.825839 , 0.030857667
520 ,1.824782 ,0.030804 
